SeqID	UNIPROT	Threat Bin	Tax_ID
AAI27517.1	A0JPN4	1	10116
AAR37016.1	A0MD28	3	857306
ABK71357.1	A0QRG8	1	246196
ABD33854.1	A1X8C2	4	101306
ABD49687.1	A1Z651	2	373193
ABG75784.1	A2T3N5	3	450149
ABN10845.1	A3EXA0	2	694007
CAL82360.1	A5HZZ9	4	441771
EDO47375.1	A7RMN1	3	45351
ACH70901.1	B5DGM7	1	8030
ACT10338.1	C6KI62	1	3483
AAF79734.1	F4I8S3	1	3702
AAR31603.1	F5HG98	2	295027
CAA73529.1	O08738	2	10090
AAC49865.1	O24495	1	3702
AAB66912.1	O30477	1	29549
AAC17860.1	O31852	1	224308
AAB96524.1	O57229	1	126794
CAA11507.1	O88093	3	562
AAC40132.1	O89110	2	10090
AAC97205.1	O90369	2	374989
BAA32018.1	O93257	1	9031
AAB26998.1	P00981	4	8620
BAA32991.1	P01379	4	8631
CAA26939.1	P02879	4	3988
CAA26023.1	P03230	2	10377
AAA42531.1	P04885	2	47680
CAA28033.1	P04958	4	212717
CAA24711.1	P06019	1	10677
AAA25966.1	P06200	3	208964
AAS77176.1	P06229	1	10726
CAA29956.1	P08558	1	10677
AAC26660.1	P0A0L8	4	1280
AAA72732.1	P10149	4	12371
AAA32624.1	P11140	4	3816
AAQ92751.2	P13390	1	10726
AAA24145.1	P15005	1	83333
AAA36114.1	P20839	1	9606
CAA36214.1	P25874	1	9606
CAA45199.1	P26964	1	3359
AAA36539.1	P31749	1	9606
CAA43419.1	P32449	1	559292
CAA45708.1	P42782	3	727
AAB03707.1	P45387	2	727
AAC78721.1	P49959	1	9606
BAA05866.1	P52579	1	4097
CAA29968.1	P62745	2	9606
AAC08817.1	P69345	1	487
CAA36714.1	Q04IN8	3	373153
CAB75732.1	Q14U76	2	1280
AAA18786.1	Q46669	3	562
CCP43727.1	Q79FU2	2	83332
CAD53387.1	Q8AZK7	2	10377
BAA36759.1	Q948T6	1	39947
BAB17681.1	Q9GV41	1	5702
BAB79260.1	Q9KRU4	3	243277
BAA32956.1	Q9WMB7	3	489467
